Id,ParentId,Code,Name
1,,item 1,item name 1
2,1,item 2,item name 2
3,,item 3,item name 3
4,3,item 4,item name 4
5,2,item 5,item name 5
6,2,item 6,item name 6
7,,item 7,item name 7
8,3,item 8,item name 8
9,4,item 9,item name 9
10,5,item 10,item name 10
11,1,item 11,item name 11
12,,item 12,item name 12
13,,item 13,item name 13
14,,item 14,item name 14
15,,item 15,item name 15
16,6,item 16,item name 16
17,,item 17,item name 17
18,,item 18,item name 18
19,3,item 19,item name 19
20,,item 20,item name 20
21,,item 21,item name 21
22,,item 22,item name 22
23,,item 23,item name 23
24,,item 24,item name 24
25,3,item 25,item name 25
26,,item 26,item name 26
27,6,item 27,item name 27
28,,item 28,item name 28
29,,item 29,item name 29
30,15,item 30,item name 30
31,21,item 31,item name 31
32,5,item 32,item name 32
33,,item 33,item name 33
34,,item 34,item name 34
35,,item 35,item name 35
36,,item 36,item name 36
37,,item 37,item name 37
38,28,item 38,item name 38
39,26,item 39,item name 39
40,17,item 40,item name 40
41,40,item 41,item name 41
42,,item 42,item name 42
43,,item 43,item name 43
44,,item 44,item name 44
45,,item 45,item name 45
46,38,item 46,item name 46
47,,item 47,item name 47
48,,item 48,item name 48
49,,item 49,item name 49
50,,item 50,item name 50
51,,item 51,item name 51
52,,item 52,item name 52
53,21,item 53,item name 53
54,45,item 54,item name 54
55,51,item 55,item name 55
56,,item 56,item name 56
57,48,item 57,item name 57
58,13,item 58,item name 58
59,56,item 59,item name 59
60,17,item 60,item name 60
61,57,item 61,item name 61
62,,item 62,item name 62
63,26,item 63,item name 63
64,,item 64,item name 64
65,8,item 65,item name 65
66,,item 66,item name 66
67,,item 67,item name 67
68,,item 68,item name 68
69,22,item 69,item name 69
70,,item 70,item name 70
71,,item 71,item name 71
72,,item 72,item name 72
73,,item 73,item name 73
74,,item 74,item name 74
75,47,item 75,item name 75
76,,item 76,item name 76
77,49,item 77,item name 77
78,,item 78,item name 78
79,76,item 79,item name 79
80,35,item 80,item name 80
81,,item 81,item name 81
82,56,item 82,item name 82
83,,item 83,item name 83
84,,item 84,item name 84
85,36,item 85,item name 85
86,,item 86,item name 86
87,,item 87,item name 87
88,43,item 88,item name 88
89,62,item 89,item name 89
90,,item 90,item name 90
91,70,item 91,item name 91
92,,item 92,item name 92
93,69,item 93,item name 93
94,86,item 94,item name 94
95,,item 95,item name 95
96,89,item 96,item name 96
97,17,item 97,item name 97
98,48,item 98,item name 98
99,97,item 99,item name 99
100,82,item 100,item name 100
101,,item 101,item name 101
102,36,item 102,item name 102
103,,item 103,item name 103
104,,item 104,item name 104
105,,item 105,item name 105
106,,item 106,item name 106
107,96,item 107,item name 107
108,,item 108,item name 108
109,4,item 109,item name 109
110,,item 110,item name 110
111,107,item 111,item name 111
112,40,item 112,item name 112
113,,item 113,item name 113
114,50,item 114,item name 114
115,106,item 115,item name 115
116,,item 116,item name 116
117,17,item 117,item name 117
118,108,item 118,item name 118
119,,item 119,item name 119
120,113,item 120,item name 120
121,,item 121,item name 121
122,,item 122,item name 122
123,85,item 123,item name 123
124,60,item 124,item name 124
125,,item 125,item name 125
126,1,item 126,item name 126
127,,item 127,item name 127
128,48,item 128,item name 128
129,,item 129,item name 129
130,,item 130,item name 130
131,,item 131,item name 131
132,108,item 132,item name 132
