Id,ParentId,Code,Name
1,,item 1,item name 1
2,,item 2,item name 2
3,,item 3,item name 3
4,2,item 4,item name 4
5,,item 5,item name 5
6,3,item 6,item name 6
7,,item 7,item name 7
8,3,item 8,item name 8
9,2,item 9,item name 9
10,2,item 10,item name 10
11,,item 11,item name 11
12,5,item 12,item name 12
13,6,item 13,item name 13
14,,item 14,item name 14
15,,item 15,item name 15
16,,item 16,item name 16
17,,item 17,item name 17
18,1,item 18,item name 18
19,,item 19,item name 19
20,14,item 20,item name 20
21,,item 21,item name 21
22,,item 22,item name 22
23,,item 23,item name 23
24,8,item 24,item name 24
25,,item 25,item name 25
26,18,item 26,item name 26
27,3,item 27,item name 27
28,,item 28,item name 28
29,,item 29,item name 29
30,6,item 30,item name 30
31,5,item 31,item name 31
32,22,item 32,item name 32
33,,item 33,item name 33
34,24,item 34,item name 34
35,13,item 35,item name 35
36,31,item 36,item name 36
37,24,item 37,item name 37
38,,item 38,item name 38
39,,item 39,item name 39
40,,item 40,item name 40
41,36,item 41,item name 41
42,34,item 42,item name 42
43,,item 43,item name 43
44,23,item 44,item name 44
45,33,item 45,item name 45
46,3,item 46,item name 46
47,15,item 47,item name 47
48,,item 48,item name 48
49,,item 49,item name 49
50,,item 50,item name 50
51,19,item 51,item name 51
52,25,item 52,item name 52
53,20,item 53,item name 53
54,,item 54,item name 54
55,35,item 55,item name 55
56,,item 56,item name 56
57,,item 57,item name 57
58,42,item 58,item name 58
59,,item 59,item name 59
60,25,item 60,item name 60
61,21,item 61,item name 61
62,13,item 62,item name 62
63,3,item 63,item name 63
64,,item 64,item name 64
65,51,item 65,item name 65
66,,item 66,item name 66
67,,item 67,item name 67
68,,item 68,item name 68
69,,item 69,item name 69
70,49,item 70,item name 70
71,,item 71,item name 71
72,3,item 72,item name 72
73,,item 73,item name 73
74,15,item 74,item name 74
75,,item 75,item name 75
76,4,item 76,item name 76
77,74,item 77,item name 77
78,28,item 78,item name 78
79,,item 79,item name 79
80,8,item 80,item name 80
81,57,item 81,item name 81
82,,item 82,item name 82
83,,item 83,item name 83
84,,item 84,item name 84
85,,item 85,item name 85
86,,item 86,item name 86
87,40,item 87,item name 87
88,,item 88,item name 88
89,,item 89,item name 89
90,,item 90,item name 90
91,,item 91,item name 91
92,,item 92,item name 92
93,24,item 93,item name 93
94,47,item 94,item name 94
95,54,item 95,item name 95
96,,item 96,item name 96
97,,item 97,item name 97
98,,item 98,item name 98
99,,item 99,item name 99
100,,item 100,item name 100
101,,item 101,item name 101
102,55,item 102,item name 102
103,84,item 103,item name 103
104,,item 104,item name 104
105,36,item 105,item name 105
