Id,ParentId,Code,Name
1,,item 1,item name 1
2,89,item 2,item name 2
3,,item 3,item name 3
4,,item 4,item name 4
5,,item 5,item name 5
6,,item 6,item name 6
7,493,item 7,item name 7
8,258,item 8,item name 8
9,,item 9,item name 9
10,,item 10,item name 10
11,462,item 11,item name 11
12,176,item 12,item name 12
13,449,item 13,item name 13
14,46,item 14,item name 14
15,,item 15,item name 15
16,91,item 16,item name 16
17,420,item 17,item name 17
18,200,item 18,item name 18
19,349,item 19,item name 19
20,,item 20,item name 20
21,464,item 21,item name 21
22,,item 22,item name 22
23,305,item 23,item name 23
24,298,item 24,item name 24
25,38,item 25,item name 25
26,,item 26,item name 26
27,,item 27,item name 27
28,,item 28,item name 28
29,,item 29,item name 29
30,150,item 30,item name 30
31,423,item 31,item name 31
32,,item 32,item name 32
33,29,item 33,item name 33
34,405,item 34,item name 34
35,331,item 35,item name 35
36,121,item 36,item name 36
37,212,item 37,item name 37
38,171,item 38,item name 38
39,446,item 39,item name 39
40,478,item 40,item name 40
41,133,item 41,item name 41
42,256,item 42,item name 42
43,,item 43,item name 43
44,,item 44,item name 44
45,427,item 45,item name 45
46,410,item 46,item name 46
47,461,item 47,item name 47
48,147,item 48,item name 48
49,97,item 49,item name 49
50,,item 50,item name 50
51,,item 51,item name 51
52,350,item 52,item name 52
53,,item 53,item name 53
54,396,item 54,item name 54
55,236,item 55,item name 55
56,,item 56,item name 56
57,,item 57,item name 57
58,,item 58,item name 58
59,256,item 59,item name 59
60,,item 60,item name 60
61,78,item 61,item name 61
62,,item 62,item name 62
63,,item 63,item name 63
64,488,item 64,item name 64
65,,item 65,item name 65
66,186,item 66,item name 66
67,,item 67,item name 67
68,498,item 68,item name 68
69,283,item 69,item name 69
70,149,item 70,item name 70
71,,item 71,item name 71
72,365,item 72,item name 72
73,,item 73,item name 73
74,11,item 74,item name 74
75,,item 75,item name 75
76,150,item 76,item name 76
77,,item 77,item name 77
78,,item 78,item name 78
79,,item 79,item name 79
80,,item 80,item name 80
81,,item 81,item name 81
82,,item 82,item name 82
83,264,item 83,item name 83
84,,item 84,item name 84
85,,item 85,item name 85
86,,item 86,item name 86
87,,item 87,item name 87
88,107,item 88,item name 88
89,,item 89,item name 89
90,495,item 90,item name 90
91,,item 91,item name 91
92,,item 92,item name 92
93,230,item 93,item name 93
94,378,item 94,item name 94
95,,item 95,item name 95
96,,item 96,item name 96
97,,item 97,item name 97
98,271,item 98,item name 98
99,,item 99,item name 99
100,396,item 100,item name 100
101,,item 101,item name 101
102,,item 102,item name 102
103,328,item 103,item name 103
104,215,item 104,item name 104
105,,item 105,item name 105
106,,item 106,item name 106
107,,item 107,item name 107
108,,item 108,item name 108
109,,item 109,item name 109
110,350,item 110,item name 110
111,,item 111,item name 111
112,78,item 112,item name 112
113,,item 113,item name 113
114,398,item 114,item name 114
115,,item 115,item name 115
116,,item 116,item name 116
117,479,item 117,item name 117
118,155,item 118,item name 118
119,61,item 119,item name 119
120,22,item 120,item name 120
121,263,item 121,item name 121
122,,item 122,item name 122
123,,item 123,item name 123
124,,item 124,item name 124
125,,item 125,item name 125
126,,item 126,item name 126
127,245,item 127,item name 127
128,201,item 128,item name 128
129,434,item 129,item name 129
130,,item 130,item name 130
131,477,item 131,item name 131
132,419,item 132,item name 132
133,360,item 133,item name 133
134,188,item 134,item name 134
135,333,item 135,item name 135
136,387,item 136,item name 136
137,,item 137,item name 137
138,439,item 138,item name 138
139,343,item 139,item name 139
140,,item 140,item name 140
141,,item 141,item name 141
142,,item 142,item name 142
143,,item 143,item name 143
144,342,item 144,item name 144
145,304,item 145,item name 145
146,,item 146,item name 146
147,6,item 147,item name 147
148,,item 148,item name 148
149,,item 149,item name 149
150,,item 150,item name 150
